15	22064949	22065090	37880
15	22069032	22069153	8362
15	22070513	22070635	23965
15	22073068	22073309	19457
15	22074587	22074709	17899
15	22077496	22077737	57328
15	22077799	22078041	53038
15	22082319	22082810	76321
15	22140236	22140357	14679
15	22148666	22148787	13492
15	22151026	22151149	34339
15	22297446	22297568	11601
15	22297686	22297808	9868
15	22298168	22298290	9724
15	22318954	22319614	23514
15	22332480	22333000	57312
15	22344917	22345278	49848
15	22368565	22369527	78399
15	22382463	22383433	72480
15	22413533	22414386	85417
15	22440294	22440846	22161
15	22448371	22448688	59738
15	22448746	22448846	18970
15	22466022	22466390	60925
15	22466409	22466533	26157
15	22472881	22473253	54635
15	22473269	22473390	18565
15	22482800	22483161	64533
15	22483199	22483320	12660
15	22489929	22490050	3902
15	22566800	22566920	6795
15	22566971	22567092	17150
15	22691010	22691131	53899
15	22705282	22705528	61795
15	22705540	22705782	50971
15	22705788	22706149	96879
15	22706208	22706424	42320
15	22706664	22706785	66577
15	22707150	22707300	66970
15	22707474	22707637	49948
15	22708613	22708741	34314
15	22708940	22709277	64882
